iter	Passed	Remaining
584	74645	78473
585	74785	78359
586	74904	78221
587	75058	78122
588	75205	78014
589	75334	77888
590	75453	77751
591	75570	77612
592	75715	77502
593	75848	77381
594	75989	77266
595	76136	77157
596	76264	77031
597	76403	76914
598	76530	76786
599	76662	76662
600	76778	76523
601	76921	76410
602	77060	76293
603	77205	76182
604	77345	76066
605	77480	75946
606	77604	75814
607	77750	75704
608	77892	75590
609	78014	75456
610	78159	75345
611	78280	75210
612	78422	75095
613	78569	74986
614	78707	74868
615	78837	74742
616	78979	74627
617	79130	74520
618	79255	74389
619	79401	74278
620	79538	74159
621	79682	74045
622	79810	73917
623	79946	73796
624	80091	73684
625	80234	73569
626	80358	73437
627	80495	73317
628	80647	73211
629	80776	73083
630	80894	72946
631	81045	72838
632	81167	72704
633	81311	72590
634	81432	72455
635	81555	72323
636	81699	72208
637	81843	72093
638	81977	71971
639	82125	71859
640	82247	71726
641	82394	71613
642	82542	71502
643	82687	71388
644	82827	71269
645	82973	71156
646	83112	71037
647	83250	70916
648	83389	70797
649	83530	70679
650	83650	70543
651	83818	70448
652	83943	70317
653	84061	70179
654	84200	70059
655	84332	69934
656	84478	69820
657	84609	69693
658	84751	69575
659	84897	69461
660	85030	69336
661	85163	69211
662	85295	69085
663	85420	68953
664	85562	68835
665	85679	68697
666	85794	68558
667	85945	68447
668	86060	68307
669	86211	68197
670	86363	68086
671	86506	67969
672	86643	67847
673	86802	67742
674	86945	67624
675	87097	67513
676	87226	67384
677	87336	67241
678	87482	67126
679	87634	67014
680	87790	66906
681	87936	66790
682	88069	66664
683	88203	66539
684	88324	66404
685	88473	66290
686	88612	66168
687	88756	66051
688	88901	65934
689	89028	65803
690	89162	65678
691	89308	65562
692	89426	65424
693	89537	65282
694	89679	65162
695	89804	65030
696	89949	64913
697	90057	64768
698	90197	64647
699	90326	64519
700	90449	64385
701	90605	64275
702	90745	64154
703	90868	64020
704	90988	63885
705	91102	63746
706	91247	63627
707	91363	63489
708	91491	63360
709	91632	63239
710	91772	63117
711	91917	62999
712	92069	62885
713	92221	62772
714	92363	62652
715	92488	62519
716	92642	62407
717	92764	62273
718	92904	62151
719	93038	62025
720	93193	61913
721	93328	61788
722	93438	61646
723	93586	61529
724	93730	61409
725	93876	61291
726	94002	61159
727	94139	61035
728	94265	60904
729	94389	60771
730	94536	60653
